# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1666059852.751638412475586,0.00498,0.00102,0.00302,0.00202,0.00047,0.00181,0.01331
1666059852.851647615432739,0.01365,0.00084,0.00148,0.00257,0.00006,0.00590,0.02450
1666059852.951657295227051,0.01399,0.00084,0.00334,0.00677,0.00181,0.00186,0.02862
1666059853.051659584045410,0.01419,0.00209,0.00152,0.00338,0.00322,0.00172,0.02612
1666059853.151665449142456,0.01072,0.00044,0.00131,0.00135,0.00106,0.00147,0.01634
1666059853.251672744750977,0.01322,0.00111,0.00598,0.00221,0.00164,0.00140,0.02557
1666059853.351675987243652,0.01478,0.00061,0.00296,0.00161,0.00000,0.00336,0.02332
1666059853.451677799224854,0.01182,0.00048,0.00098,0.00077,0.00008,0.00146,0.01560
1666059853.551679372787476,0.00796,0.00056,0.00032,0.00094,0.00557,0.00142,0.01678
1666059853.651671171188354,0.00873,0.00040,0.00147,0.00088,0.00005,0.00153,0.01307
1666059853.751665115356445,0.00642,0.00055,0.00085,0.00124,0.00590,0.00161,0.01658
1666059853.851654291152954,0.01468,0.00068,0.00203,0.00189,0.00353,0.00158,0.02440
1666059853.951651573181152,0.00977,0.00257,0.00319,0.00105,0.00000,0.00130,0.01790
1666059854.051655292510986,0.00596,0.00047,0.00172,0.00121,0.00309,0.00489,0.01735
1666059854.151653766632080,0.00492,0.00042,0.00158,0.00154,0.00055,0.00185,0.01085
1666059854.251646757125854,0.00533,0.00060,0.00126,0.00677,0.00364,0.00156,0.01916
1666059854.351633310317993,0.00650,0.00031,0.00094,0.00095,0.00407,0.00269,0.01547
1666059854.451640605926514,0.00588,0.00110,0.00162,0.00611,0.00085,0.00245,0.01801
1666059854.551640272140503,0.00620,0.00079,0.00283,0.00567,0.00000,0.00389,0.01938
1666059854.651646852493286,0.00652,0.00032,0.00118,0.00101,0.00205,0.00162,0.01269
1666059854.751645326614380,0.01345,0.00061,0.00208,0.00157,0.00061,0.00252,0.02084
1666059854.851643562316895,0.00686,0.00057,0.00137,0.00227,0.01090,0.00166,0.02363
1666059854.951637744903564,0.00571,0.00062,0.00609,0.00370,0.00275,0.00132,0.02020
1666059855.051640033721924,0.01641,0.00203,0.00310,0.00299,0.00000,0.00452,0.02904
1666059855.151641845703125,0.00779,0.00053,0.00145,0.00332,0.00003,0.00259,0.01571
1666059855.251641988754272,0.01503,0.00056,0.00264,0.00092,0.00054,0.00425,0.02393
1666059855.351633787155151,0.00997,0.00093,0.00667,0.00209,0.00133,0.00317,0.02416
1666059855.451630353927612,0.01383,0.00053,0.00077,0.00067,0.00342,0.00122,0.02044
1666059855.551630020141602,0.00681,0.00034,0.00144,0.00081,0.00003,0.00330,0.01272
1666059855.651625633239746,0.00834,0.00033,0.00103,0.00070,0.00004,0.00126,0.01170
1666059855.751628398895264,0.00513,0.00034,0.00068,0.00082,0.00246,0.00129,0.01072
1666059855.851627111434937,0.00876,0.00066,0.00462,0.00652,0.00379,0.00172,0.02607
1666059855.951631546020508,0.00514,0.00043,0.00647,0.00181,0.00000,0.00140,0.01525
1666059856.051638841629028,0.01455,0.00059,0.00136,0.00533,0.00036,0.00359,0.02578
1666059856.151644706726074,0.01264,0.00068,0.00122,0.00131,0.00022,0.00158,0.01764
1666059856.251648664474487,0.01224,0.00073,0.00134,0.00192,0.00716,0.00247,0.02587
1666059856.351642847061157,0.01246,0.00229,0.00149,0.00138,0.00054,0.00144,0.01960
1666059856.451644897460938,0.01285,0.00070,0.00244,0.00338,0.00571,0.00422,0.02931
1666059856.551647424697876,0.01167,0.00263,0.00196,0.00110,0.00084,0.00150,0.01970
1666059856.651650667190552,0.01928,0.00071,0.00109,0.00369,0.00159,0.00178,0.02814
1666059856.751651287078857,0.01427,0.00056,0.00073,0.00146,0.00249,0.00146,0.02097
1666059856.851653575897217,0.00603,0.00050,0.00246,0.00194,0.00360,0.00391,0.01845
1666059856.951651811599731,0.00608,0.00075,0.00191,0.00634,0.00738,0.00206,0.02452
1666059857.051647663116455,0.00795,0.00141,0.00401,0.00229,0.00088,0.00163,0.01816
1666059857.151644945144653,0.01008,0.00052,0.00095,0.00199,0.00129,0.00296,0.01778
1666059857.251646280288696,0.00709,0.00082,0.00170,0.00530,0.00042,0.00286,0.01819
1666059857.351642370223999,0.00904,0.00078,0.00186,0.00658,0.00136,0.00161,0.02124
1666059857.451645851135254,0.01123,0.00247,0.00381,0.00145,0.00000,0.00169,0.02064
1666059857.551643610000610,0.00575,0.00068,0.00152,0.00379,0.00593,0.00151,0.01918
1666059857.651641130447388,0.01085,0.00053,0.00120,0.00141,0.00197,0.00137,0.01732
1666059857.751641511917114,0.00935,0.00174,0.00746,0.00215,0.00001,0.00174,0.02246
1666059857.851642131805420,0.01647,0.00071,0.00096,0.00220,0.00670,0.00359,0.03063
1666059857.951642751693726,0.01280,0.00048,0.00058,0.00535,0.00107,0.00276,0.02304
1666059858.051636219024658,0.00485,0.00054,0.00075,0.00540,0.00183,0.00153,0.01489
1666059858.151635169982910,0.01217,0.00059,0.00187,0.00171,0.00000,0.00170,0.01804
1666059858.251632928848267,0.00903,0.00053,0.00163,0.00390,0.00270,0.00164,0.01943
1666059858.351633310317993,0.00731,0.00067,0.00266,0.00493,0.00001,0.00201,0.01760
1666059858.451625823974609,0.01057,0.00050,0.00059,0.00137,0.00053,0.00157,0.01512
1666059858.551623106002808,0.01479,0.00055,0.00150,0.00105,0.00709,0.00149,0.02647
1666059858.651624441146851,0.01053,0.00271,0.00453,0.00188,0.00092,0.00140,0.02198
1666059858.751602888107300,0.01169,0.00047,0.00057,0.00219,0.00071,0.00165,0.01728
1666059858.851591587066650,0.01400,0.00093,0.00122,0.00328,0.00004,0.00561,0.02509
1666059858.951588153839111,0.01244,0.00061,0.00076,0.00636,0.00489,0.00132,0.02640
1666059859.051580429077148,0.00647,0.00036,0.00065,0.00401,0.00426,0.00161,0.01735
1666059859.151571512222290,0.01582,0.00144,0.00728,0.00261,0.00006,0.00152,0.02873
1666059859.251580238342285,0.00625,0.00123,0.00402,0.00586,0.00324,0.00130,0.02190
1666059859.351575374603271,0.00747,0.00036,0.00104,0.00154,0.00009,0.00125,0.01175
1666059859.451572895050049,0.00796,0.00065,0.00162,0.00337,0.00142,0.00157,0.01659
1666059859.551568269729614,0.00867,0.00062,0.00351,0.00234,0.00283,0.00183,0.01981
1666059859.651567459106445,0.01248,0.00068,0.00133,0.00225,0.00174,0.00189,0.02036
1666059859.751560926437378,0.01144,0.00036,0.00099,0.00159,0.00062,0.00134,0.01633
1666059859.851560592651367,0.00563,0.00038,0.00103,0.00407,0.00000,0.00156,0.01268
1666059859.951561689376831,0.00608,0.00042,0.00178,0.00129,0.00495,0.00156,0.01609
1666059860.051553964614868,0.00342,0.00035,0.00112,0.00142,0.00184,0.00207,0.01022
1666059860.151553153991699,0.00501,0.00048,0.00174,0.00665,0.00211,0.00354,0.01953
1666059860.251559495925903,0.00764,0.00050,0.00627,0.00157,0.00005,0.00169,0.01772
1666059860.351570367813110,0.01395,0.00074,0.00224,0.00183,0.00343,0.00240,0.02458
1666059860.451556205749512,0.01257,0.00081,0.00498,0.00449,0.00005,0.00167,0.02457
1666059860.551567316055298,0.00584,0.00035,0.00119,0.00105,0.00251,0.00184,0.01278
1666059860.651572942733765,0.00738,0.00105,0.00487,0.00257,0.00097,0.00138,0.01823
1666059860.751587867736816,0.01589,0.00085,0.00140,0.00477,0.00281,0.00489,0.03061
1666059860.851588487625122,0.01618,0.00061,0.00083,0.00182,0.00017,0.00347,0.02308
1666059860.951587438583374,0.00997,0.00036,0.00052,0.00106,0.00088,0.00125,0.01404
1666059861.051596641540527,0.01814,0.00145,0.00099,0.00128,0.00298,0.00128,0.02613
1666059861.151570081710815,0.00780,0.00068,0.00226,0.00596,0.00087,0.00336,0.02093
1666059861.251589775085449,0.01475,0.00089,0.00055,0.00693,0.00154,0.00136,0.02602
1666059861.351562738418579,0.01472,0.00041,0.00151,0.00271,0.00099,0.00152,0.02186
1666059861.451563358306885,0.01357,0.00056,0.00056,0.00183,0.00005,0.00211,0.01870
1666059861.551558256149292,0.01693,0.00058,0.00019,0.00149,0.00083,0.00141,0.02144
1666059861.651566028594971,0.00632,0.00042,0.00033,0.00132,0.00043,0.00268,0.01150
1666059861.751569509506226,0.01526,0.00092,0.00186,0.00239,0.00722,0.00172,0.02938
1666059861.851567745208740,0.01260,0.00078,0.00204,0.00826,0.00268,0.00202,0.02838
1666059861.951562404632568,0.00581,0.00066,0.00273,0.00658,0.00135,0.00172,0.01884
1666059862.051555871963501,0.00998,0.00258,0.00139,0.00294,0.00355,0.00391,0.02434
1666059862.151547193527222,0.01533,0.00057,0.00153,0.00603,0.00023,0.00198,0.02568
1666059862.251549243927002,0.00828,0.00090,0.00072,0.00759,0.00000,0.00265,0.02014
1666059862.351547002792358,0.00478,0.00049,0.00044,0.00263,0.00181,0.00571,0.01586
1666059862.451540231704712,0.00867,0.00268,0.00251,0.00313,0.00084,0.00145,0.01929
1666059862.551543235778809,0.00855,0.00271,0.00202,0.00238,0.00097,0.00181,0.01843
1666059862.651546478271484,0.01622,0.00111,0.00344,0.00386,0.00040,0.00205,0.02708
1666059862.751546621322632,0.00376,0.00045,0.00045,0.00458,0.00019,0.00484,0.01428
1666059862.851545572280884,0.00509,0.00058,0.00041,0.00405,0.00180,0.00195,0.01389
1666059862.951545000076294,0.01523,0.00078,0.00016,0.00183,0.00417,0.00451,0.02668
1666059863.051544904708862,0.00741,0.00047,0.00010,0.00114,0.00015,0.00155,0.01082
1666059863.151544094085693,0.00992,0.00060,0.00063,0.00182,0.00007,0.00321,0.01625
1666059863.251538276672363,0.01467,0.00062,0.00106,0.00703,0.00021,0.00222,0.02582
1666059863.351524591445923,0.00831,0.00045,0.00011,0.00171,0.00041,0.00407,0.01506
1666059863.451510667800903,0.01565,0.00061,0.00114,0.00219,0.00807,0.00138,0.02905
1666059863.551498413085938,0.00861,0.00069,0.00032,0.00702,0.00093,0.00526,0.02283
1666059863.651485919952393,0.00897,0.00113,0.00055,0.00570,0.00267,0.00234,0.02137
1666059863.751474857330322,0.01324,0.00046,0.00181,0.00160,0.00651,0.00199,0.02561
1666059863.851466417312622,0.01258,0.00057,0.00015,0.00273,0.00011,0.00439,0.02054
1666059863.951456785202026,0.00526,0.00061,0.00023,0.00286,0.00005,0.00240,0.01141
1666059864.051446914672852,0.00614,0.00059,0.00340,0.00395,0.00166,0.00144,0.01718
1666059864.151438951492310,0.01941,0.00055,0.00021,0.00191,0.00082,0.00397,0.02687
1666059864.251434326171875,0.00872,0.00037,0.00020,0.00131,0.00011,0.00159,0.01230
1666059864.351427078247070,0.01254,0.00054,0.00241,0.00151,0.00040,0.00372,0.02111
1666059864.451424360275269,0.01295,0.00089,0.00040,0.00410,0.00016,0.00252,0.02102
1666059864.551411628723145,0.00928,0.00069,0.00025,0.00169,0.00006,0.00225,0.01422
1666059864.651418924331665,0.01143,0.00081,0.00286,0.00232,0.00261,0.00137,0.02140
1666059864.751410961151123,0.01448,0.00046,0.00056,0.00167,0.00220,0.00339,0.02275
1666059864.851395130157471,0.01342,0.00093,0.00227,0.00142,0.00896,0.00425,0.03125
1666059864.951389789581299,0.01344,0.00050,0.00016,0.00078,0.00078,0.00386,0.01953
1666059865.051387786865234,0.01884,0.00129,0.00294,0.00398,0.00000,0.00924,0.03629
1666059865.151380538940430,0.01346,0.00080,0.00106,0.00067,0.00000,0.00288,0.01888
1666059865.251369714736938,0.01401,0.00055,0.00610,0.00049,0.00467,0.00137,0.02719
1666059865.351373672485352,0.00394,0.00033,0.00062,0.00060,0.00039,0.00157,0.00745
1666059865.451367616653442,0.00772,0.00121,0.00021,0.00063,0.00258,0.00225,0.01460
1666059865.551368713378906,0.01282,0.00127,0.00252,0.00414,0.00210,0.00276,0.02562
1666059865.651370763778687,0.01068,0.00040,0.00289,0.00113,0.00073,0.00169,0.01753
1666059865.751374244689941,0.01078,0.00044,0.00050,0.00035,0.00000,0.00164,0.01371
1666059865.851374626159668,0.01250,0.00156,0.00082,0.00024,0.00889,0.00512,0.02912
