# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1664954587.152082443237305,0.00404,0.00036,0.00022,0.00435,0.00138,0.00317,0.01353
1664954587.252094745635986,0.00506,0.00071,0.00551,0.00422,0.00474,0.00264,0.02288
1664954587.352099418640137,0.00506,0.00038,0.00014,0.00696,0.00000,0.00234,0.01487
1664954587.452103137969971,0.00585,0.00039,0.00021,0.00445,0.00000,0.00236,0.01326
1664954587.552100896835327,0.00511,0.00041,0.00080,0.00427,0.00000,0.00246,0.01305
1664954587.652098178863525,0.00895,0.00037,0.00057,0.00366,0.00190,0.00232,0.01777
1664954587.752109289169312,0.00475,0.00044,0.00010,0.00415,0.00206,0.00288,0.01439
1664954587.852109193801880,0.00658,0.00039,0.00004,0.00593,0.00000,0.00257,0.01550
1664954587.952111959457397,0.00457,0.00059,0.00064,0.00401,0.00000,0.00233,0.01214
1664954588.052114963531494,0.00489,0.00041,0.00041,0.00460,0.00671,0.00248,0.01950
1664954588.152117252349854,0.00717,0.00041,0.00009,0.00601,0.00038,0.00280,0.01686
1664954588.252111673355103,0.00563,0.00045,0.00113,0.00605,0.00121,0.00253,0.01701
1664954588.352096319198608,0.00674,0.00079,0.00076,0.00520,0.00026,0.00218,0.01595
1664954588.452104568481445,0.00538,0.00038,0.00472,0.00415,0.00577,0.00258,0.02298
1664954588.552106618881226,0.00622,0.00048,0.00121,0.00493,0.00109,0.00212,0.01605
1664954588.652110338211060,0.00487,0.00036,0.00037,0.00391,0.00016,0.00317,0.01284
1664954588.752113580703735,0.00759,0.00059,0.00081,0.00380,0.00181,0.00343,0.01804
1664954588.852120876312256,0.00518,0.00034,0.00041,0.00393,0.00000,0.00341,0.01327
1664954588.952133417129517,0.00580,0.00058,0.00044,0.00407,0.00541,0.00249,0.01879
1664954589.052128314971924,0.00620,0.00041,0.00073,0.00317,0.00004,0.00210,0.01264
1664954589.152130603790283,0.00618,0.00035,0.00025,0.00296,0.00000,0.00209,0.01184
1664954589.252128124237061,0.00496,0.00043,0.00087,0.00352,0.00037,0.00243,0.01257
1664954589.352136373519897,0.00559,0.00036,0.00048,0.00260,0.00020,0.00218,0.01141
1664954589.452138185501099,0.00562,0.00039,0.00134,0.00259,0.00020,0.00215,0.01228
1664954589.552141666412354,0.00700,0.00037,0.00080,0.00251,0.00053,0.00323,0.01446
1664954589.652153491973877,0.00683,0.00035,0.00034,0.00305,0.00478,0.00222,0.01756
1664954589.752147674560547,0.00589,0.00033,0.00040,0.00244,0.00000,0.00257,0.01162
1664954589.852158308029175,0.00651,0.00041,0.00036,0.00235,0.00034,0.00236,0.01234
1664954589.952161550521851,0.00838,0.00039,0.00062,0.00209,0.00000,0.00266,0.01415
1664954590.052158117294312,0.00572,0.00034,0.00041,0.00262,0.00279,0.00264,0.01453
1664954590.152163982391357,0.00554,0.00040,0.00071,0.00183,0.00308,0.00354,0.01510
1664954590.252166986465454,0.00422,0.00034,0.00013,0.00239,0.00019,0.00259,0.00986
1664954590.352165699005127,0.00545,0.00035,0.00147,0.00261,0.00015,0.00284,0.01287
1664954590.452158451080322,0.00594,0.00035,0.00109,0.00372,0.00058,0.00477,0.01645
1664954590.552181959152222,0.00422,0.00055,0.00105,0.00343,0.00129,0.00240,0.01295
